timestamp,base_model,lora_model,metric,num_samples,temperature,num_beams,top_p,do_sample,max_new_tokens,num_problems,score,duration_minutes,samples_file,summary_file,config_description
20250302202158,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8_lr0.0002_epochs4,pass@1,1,0.3,8,0.95,True,256,164,22.56,120.05,20250302182136_generated_samples.jsonl,20250302182136_results_summary.txt,High beam search (8) for 4-epoch model
20250302202207,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.4,8,0.95,True,256,164,32.32,120.62,20250302182110_generated_samples.jsonl,20250302182110_results_summary.txt,High beam (8) + high temp (0.4)
20250302202301,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r16_lr0.0002_epochs3,pass@1,1,0.25,8,0.95,True,256,164,34.76,120.29,20250302182228_generated_samples.jsonl,20250302182228_results_summary.txt,High beam + medium temp for r16 model
20250302202444,codellama/CodeLlama-7b-hf,20250301_02_alpha16_dropout0.0_r8_lr0.0002_epochs3,pass@1,1,0.25,8,0.95,True,256,164,34.15,120.18,20250302182415_generated_samples.jsonl,20250302182415_results_summary.txt,High beam + medium temp for no-dropout model
20250302202535,codellama/CodeLlama-7b-hf,20250301_01_alpha32_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.3,8,0.95,True,256,164,26.22,121.98,20250302182319_generated_samples.jsonl,20250302182319_results_summary.txt,Balanced beam search for alpha32 model
20250302222753,codellama/CodeLlama-7b-hf,20250301_02_alpha16_dropout0.0_r8_lr0.0002_epochs3,pass@1,1,1.0,8,0.9,False,256,164,33.95,122.81,20250302202450_generated_samples.jsonl,20250302202450_results_summary.txt,Pure greedy with beams for no-dropout model
20250302222806,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r16_lr0.0002_epochs3,pass@1,1,1.0,8,0.9,False,256,164,31.71,124.76,20250302202307_generated_samples.jsonl,20250302202307_results_summary.txt,Pure greedy with beams for r16 model
20250302222902,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,1.0,10,1.0,False,256,164,34.15,126.55,20250302202212_generated_samples.jsonl,20250302202212_results_summary.txt,Pure greedy + more beams (10)
20250302223134,codellama/CodeLlama-7b-hf,20250301_01_alpha32_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,1.0,10,0.9,False,256,164,29.63,125.64,20250302202541_generated_samples.jsonl,20250302202541_results_summary.txt,Pure greedy + high beam for alpha32 model
20250302230610,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,1.0,1,1.0,False,256,164,21.95,36.77,20250302222907_generated_samples.jsonl,20250302222907_results_summary.txt,Pure greedy + repetition penalty
20250302234220,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8_lr0.0002_epochs4,pass@1,1,1.0,10,0.9,False,256,164,22.70,123.80,20250302213812_generated_samples.jsonl,20250302213812_results_summary.txt,Greedy with high beam (10) for 4-epoch model
20250303001722,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r16_lr0.0002_epochs3,pass@1,1,0.1,5,0.9,True,256,164,29.88,108.94,20250302222812_generated_samples.jsonl,20250302222812_results_summary.txt,Low temperature for r16 model
20250303002114,codellama/CodeLlama-7b-hf,20250301_01_alpha32_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.15,5,0.9,True,256,164,29.27,109.22,20250302223140_generated_samples.jsonl,20250302223140_results_summary.txt,Lower temperature for alpha32 model
20250303005011,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.25,5,0.95,True,256,164,34.15,103.66,20250302230615_generated_samples.jsonl,20250302230615_results_summary.txt,Balanced temp (0.25) + beams (5)
20250303012215,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8_lr0.0002_epochs4,pass@1,1,0.25,5,0.95,True,256,164,20.73,99.52,20250302234225_generated_samples.jsonl,20250302234225_results_summary.txt,Medium temperature for 4-epoch model
20250303015710,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r16_lr0.0002_epochs3,pass@1,1,0.4,3,0.95,True,256,164,28.66,99.47,20250303001728_generated_samples.jsonl,20250303001728_results_summary.txt,High temperature for r16 model
20250303020418,codellama/CodeLlama-7b-hf,20250301_01_alpha32_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.35,3,0.95,True,256,164,27.44,102.72,20250303002120_generated_samples.jsonl,20250303002120_results_summary.txt,Higher temperature for alpha32 model
20250303031008,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.25,12,0.95,True,256,164,32.93,126.60,20250303010313_generated_samples.jsonl,20250303010313_results_summary.txt,Ultra-High Beam (12) with Optimal Temperature (0.25)
20250303040733,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.2,8,0.9,True,256,164,32.32,121.74,20250303020531_generated_samples.jsonl,20250303020531_results_summary.txt,Lower Temperature (0.2) for Precision
