timestamp,base_model,dataset,metric,temperature,num_beams,top_p,do_sample,max_new_tokens,num_problems,score,duration_minutes,samples_file,summary_file,config_description
20250310013557,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250309_nvc_alpha16_dropout0.05_r8_lr0.0002_fou0.05_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,29.94,33.88,unknown,20250309_nvc_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250309_nvc_alpha16_dropout0.05_r8_lr0.0002_fou0.05_epochs3_merged (GPU 0)
20250310013909,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250309_tqu_alpha16_dropout0.05_r8_lr0.0002_fou0.01_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,30.32,35.88,unknown,20250309_tqu_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250309_tqu_alpha16_dropout0.05_r8_lr0.0002_fou0.01_epochs3_merged (GPU 1)
20250310013909,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250309_tqu_alpha16_dropout0.05_r8_lr0.0002_fou0.02_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,30.32,35.73,unknown,20250309_tqu_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250309_tqu_alpha16_dropout0.05_r8_lr0.0002_fou0.02_epochs3_merged (GPU 2)
20250310014034,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250310_vzi_alpha16_dropout0.05_r8_lr0.0002_fou0.05_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,31.20,37.04,unknown,20250310_vzi_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250310_vzi_alpha16_dropout0.05_r8_lr0.0002_fou0.05_epochs3_merged (GPU 3)
20250310021039,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250309_tqu_alpha16_dropout0.05_r8_lr0.0002_fou0.001_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,155,31.81,34.51,unknown,20250309_tqu_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250309_tqu_alpha16_dropout0.05_r8_lr0.0002_fou0.001_epochs3_merged (GPU 0)
20250310021041,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250309_tqu_alpha16_dropout0.05_r16_lr0.0002_fou0.03_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,31.27,31.34,unknown,20250309_tqu_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250309_tqu_alpha16_dropout0.05_r16_lr0.0002_fou0.03_epochs3_merged (GPU 2)
20250310021505,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250310_ahh_alpha16_dropout0.05_r8_lr0.0002_fou0.001_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,31.33,34.35,unknown,20250310_ahh_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250310_ahh_alpha16_dropout0.05_r8_lr0.0002_fou0.001_epochs3_merged (GPU 3)
20250310023300,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250309_tqu_alpha16_dropout0.05_r16_lr0.0002_fou0.03_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,31.27,0.83,unknown,20250309_tqu_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250309_tqu_alpha16_dropout0.05_r16_lr0.0002_fou0.03_epochs3_merged (GPU 0)
20250310023354,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250310_ahh_alpha16_dropout0.05_r8_lr0.0002_fou0.001_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,31.33,0.72,unknown,20250310_ahh_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250310_ahh_alpha16_dropout0.05_r8_lr0.0002_fou0.001_epochs3_merged (GPU 0)
20250310030559,/home/ubuntu/01.Stanford/efs/Stanford2024/02.CS224N_NLP_w_DeepLearning/20250313_FinalProject/08.Models/22.Round_3_CrossLingual_**TRAINING**_MBPP_FOURIER_Merged/20250310_asd_alpha16_dropout0.05_r16_lr0.0002_fou0.01_epochs3_merged,humaneval-java,pass@1,0.2,8,0.95,True,512,158,32.53,30.43,unknown,20250310_asd_alpha16_java_merged_results_summary.txt,LoRA merged model: 20250310_asd_alpha16_dropout0.05_r16_lr0.0002_fou0.01_epochs3_merged (GPU 3)
